Well,GFP,RFP,Strain,Day,RFP_corr
B1,1496,3354,J23100,1 dpi,3142.416667
B2,1295,2634,J23100,1 dpi,2422.416667
B3,1446,3440,J23100,1 dpi,3228.416667
B4,1314,2877,J23100,1 dpi,2665.416667
B5,1510,5596,J23100,1 dpi,5384.416667
B6,1489,4374,J23100,1 dpi,4162.416667
B7,1380,3120,J23100,1 dpi,2908.416667
B8,1465,3170,J23100,1 dpi,2958.416667
B9,1433,2908,J23100,1 dpi,2696.416667
B10,1361,3587,J23100,1 dpi,3375.416667
B11,1323,2699,J23100,1 dpi,2487.416667
B12,1383,3802,J23100,1 dpi,3590.416667
C1,1165,1159,J23101,1 dpi,947.416667
C2,1554,2173,J23101,1 dpi,1961.416667
C3,1341,1580,J23101,1 dpi,1368.416667
C4,1275,1587,J23101,1 dpi,1375.416667
C5,1273,1520,J23101,1 dpi,1308.416667
C6,1386,1657,J23101,1 dpi,1445.416667
C7,1367,1668,J23101,1 dpi,1456.416667
C8,1252,945,J23101,1 dpi,733.416667
C9,1744,2528,J23101,1 dpi,2316.416667
C10,1400,2242,J23101,1 dpi,2030.416667
C11,1252,923,J23101,1 dpi,711.416667
C12,1309,1989,J23101,1 dpi,1777.416667
D1,1304,2183,J23102,1 dpi,1971.416667
D2,1418,3395,J23102,1 dpi,3183.416667
D3,1385,3089,J23102,1 dpi,2877.416667
D4,1681,4582,J23102,1 dpi,4370.416667
D5,1380,3139,J23102,1 dpi,2927.416667
D6,1305,1839,J23102,1 dpi,1627.416667
D7,1491,3724,J23102,1 dpi,3512.416667
D8,1569,4376,J23102,1 dpi,4164.416667
D9,1115,2564,J23102,1 dpi,2352.416667
D10,1766,3009,J23102,1 dpi,2797.416667
D11,1357,1789,J23102,1 dpi,1577.416667
D12,2237,3568,J23102,1 dpi,3356.416667
E1,1246,310,J23103,1 dpi,98.41666699999999
E2,1375,650,J23103,1 dpi,438.41666699999996
E3,1270,273,J23103,1 dpi,61.41666699999999
E4,1137,237,J23103,1 dpi,25.41666699999999
E5,1346,320,J23103,1 dpi,108.41666699999999
E6,1427,392,J23103,1 dpi,180.416667
E7,1297,343,J23103,1 dpi,131.416667
E8,1176,212,J23103,1 dpi,0.4166669999999897
E9,1212,224,J23103,1 dpi,12.41666699999999
E10,1241,349,J23103,1 dpi,137.416667
E11,1495,603,J23103,1 dpi,391.41666699999996
E12,1365,373,J23103,1 dpi,161.416667
F1,1486,2243,J23104,1 dpi,2031.416667
F2,1440,2311,J23104,1 dpi,2099.416667
F3,1326,2277,J23104,1 dpi,2065.416667
F4,1666,4373,J23104,1 dpi,4161.416667
F5,1163,1978,J23104,1 dpi,1766.416667
F6,1423,2141,J23104,1 dpi,1929.416667
F7,1448,2566,J23104,1 dpi,2354.416667
F8,1343,2340,J23104,1 dpi,2128.416667
F9,1157,1773,J23104,1 dpi,1561.416667
F10,1326,2332,J23104,1 dpi,2120.416667
F11,2299,2367,J23104,1 dpi,2155.416667
F12,1308,1963,J23104,1 dpi,1751.416667
