Strain,Plant,Day,RFP,RFP_corr
J23104,1,1,6009.0,5708.0
J23104,1,1,5425.833333333333,5124.833333333333
J23104,1,1,6478.5,6177.5
J23104,1,1,7477.666666666667,7176.666666666667
J23104,1,1,5672.333333333333,5371.333333333333
J23104,1,1,5181.166666666667,4880.166666666667
J23104,1,1,6669.833333333333,6368.833333333333
J23104,1,1,4451.666666666667,4150.666666666667
J23104,2,1,7092.666666666667,6791.666666666667
J23104,2,1,8472.166666666666,8171.166666666666
J23104,2,1,5659.333333333333,5358.333333333333
J23104,2,1,5858.666666666667,5557.666666666667
J23104,2,1,6756.0,6455.0
J23104,2,1,8181.333333333333,7880.333333333333
J23104,2,1,6501.833333333333,6200.833333333333
J23104,2,1,7876.5,7575.5
J23104,3,1,7092.166666666667,6791.166666666667
J23104,3,1,5374.333333333333,5073.333333333333
J23104,3,1,6393.833333333333,6092.833333333333
J23104,3,1,6037.166666666667,5736.166666666667
J23104,3,1,6055.833333333333,5754.833333333333
J23104,3,1,5248.333333333333,4947.333333333333
J23104,3,1,5925.166666666667,5624.166666666667
J23104,3,1,6772.5,6471.5
J23106,1,1,1817.5,1516.5
J23106,1,1,1189.8333333333333,888.8333333333333
J23106,1,1,1151.6666666666667,850.6666666666667
J23106,1,1,1027.6666666666667,726.6666666666667
J23106,1,1,1496.5,1195.5
J23106,1,1,1430.8333333333333,1129.8333333333333
J23106,1,1,1352.1666666666667,1051.1666666666667
J23106,1,1,1705.6666666666667,1404.6666666666667
J23106,2,1,908.8333333333334,607.8333333333334
J23106,2,1,1206.6666666666667,905.6666666666667
J23106,2,1,1089.8333333333333,788.8333333333333
J23106,2,1,1099.5,798.5
J23106,2,1,1378.6666666666667,1077.6666666666667
J23106,2,1,1472.5,1171.5
J23106,2,1,1338.1666666666667,1037.1666666666667
J23106,2,1,1627.5,1326.5
J23106,3,1,1440.6666666666667,1139.6666666666667
J23106,3,1,1577.3333333333333,1276.3333333333333
J23106,3,1,1985.1666666666667,1684.1666666666667
J23106,3,1,1145.6666666666667,844.6666666666667
J23106,3,1,1649.8333333333333,1348.8333333333333
J23106,3,1,1171.1666666666667,870.1666666666667
J23106,3,1,1349.0,1048.0
J23106,3,1,1399.1666666666667,1098.1666666666667
J23110,1,1,1246.3333333333333,945.3333333333333
J23110,1,1,1259.5,958.5
J23110,1,1,1670.5,1369.5
J23110,1,1,960.5,659.5
J23110,1,1,1466.6666666666667,1165.6666666666667
J23110,1,1,1428.6666666666667,1127.6666666666667
J23110,1,1,1199.1666666666667,898.1666666666667
J23110,1,1,1274.1666666666667,973.1666666666667
J23110,2,1,1253.3333333333333,952.3333333333333
J23110,2,1,1687.3333333333333,1386.3333333333333
J23110,2,1,1526.0,1225.0
J23110,2,1,1419.3333333333333,1118.3333333333333
J23110,2,1,1178.3333333333333,877.3333333333333
J23110,2,1,1756.8333333333333,1455.8333333333333
J23110,2,1,1168.5,867.5
J23110,2,1,1447.5,1146.5
J23110,3,1,1326.5,1025.5
J23110,3,1,1399.5,1098.5
J23110,3,1,1168.8333333333333,867.8333333333333
J23110,3,1,1053.0,752.0
J23110,3,1,1014.6666666666666,713.6666666666666
J23110,3,1,1371.5,1070.5
J23110,3,1,1090.0,789.0
J23110,3,1,1128.0,827.0
J23114,1,1,534.5,233.5
J23114,1,1,524.1666666666666,223.16666666666663
J23114,1,1,589.5,288.5
J23114,1,1,485.1666666666667,184.16666666666669
J23114,1,1,677.6666666666666,376.66666666666663
J23114,1,1,551.5,250.5
J23114,1,1,423.3333333333333,122.33333333333331
J23114,1,1,456.5,155.5
J23114,2,1,476.6666666666667,175.66666666666669
J23114,2,1,451.1666666666667,150.16666666666669
J23114,2,1,468.8333333333333,167.83333333333331
J23114,2,1,522.5,221.5
J23114,2,1,644.3333333333334,343.33333333333337
J23114,2,1,640.1666666666666,339.16666666666663
J23114,2,1,457.0,156.0
J23114,2,1,595.6666666666666,294.66666666666663
J23114,3,1,514.3333333333334,213.33333333333337
J23114,3,1,772.1666666666666,471.16666666666663
J23114,3,1,343.1666666666667,42.166666666666686
J23114,3,1,544.5,243.5
J23114,3,1,630.5,329.5
J23114,3,1,540.1666666666666,239.16666666666663
J23114,3,1,565.8333333333334,264.83333333333337
J23114,3,1,439.1666666666667,138.16666666666669
J23105,1,1,1082.8333333333333,781.8333333333333
J23105,1,1,997.1666666666666,696.1666666666666
J23105,1,1,992.0,691.0
J23105,1,1,1277.8333333333333,976.8333333333333
J23105,1,1,1010.3333333333334,709.3333333333334
J23105,1,1,1026.6666666666667,725.6666666666667
J23105,1,1,1077.5,776.5
J23105,1,1,880.6666666666666,579.6666666666666
J23105,2,1,1347.1666666666667,1046.1666666666667
J23105,2,1,891.1666666666666,590.1666666666666
J23105,2,1,950.8333333333334,649.8333333333334
J23105,2,1,1155.8333333333333,854.8333333333333
J23105,2,1,1334.0,1033.0
J23105,2,1,1143.6666666666667,842.6666666666667
J23105,2,1,1079.5,778.5
J23105,2,1,1159.5,858.5
J23105,3,1,1185.8333333333333,884.8333333333333
J23105,3,1,1246.0,945.0
J23105,3,1,1479.6666666666667,1178.6666666666667
J23105,3,1,1113.5,812.5
J23105,3,1,1287.8333333333333,986.8333333333333
J23105,3,1,1482.0,1181.0
J23105,3,1,883.0,582.0
J23105,3,1,1120.6666666666667,819.6666666666667
J23103,1,1,347.6666666666667,46.666666666666686
J23103,1,1,395.1666666666667,94.16666666666669
J23103,1,1,455.6666666666667,154.66666666666669
J23103,1,1,439.6666666666667,138.66666666666669
J23103,1,1,569.8333333333334,268.83333333333337
J23103,1,1,471.0,170.0
J23103,1,1,364.1666666666667,63.166666666666686
J23103,1,1,447.1666666666667,146.16666666666669
J23103,2,1,467.8333333333333,166.83333333333331
J23103,2,1,375.1666666666667,74.16666666666669
J23103,2,1,352.0,51.0
J23103,2,1,369.3333333333333,68.33333333333331
J23103,2,1,385.6666666666667,84.66666666666669
J23103,2,1,331.6666666666667,30.666666666666686
J23103,2,1,357.5,56.5
J23103,2,1,417.0,116.0
J23103,3,1,470.3333333333333,169.33333333333331
J23103,3,1,429.6666666666667,128.66666666666669
J23103,3,1,422.8333333333333,121.83333333333331
J23103,3,1,452.0,151.0
J23103,3,1,475.3333333333333,174.33333333333331
J23103,3,1,370.0,69.0
J23103,3,1,440.6666666666667,139.66666666666669
J23103,3,1,391.5,90.5
J23111,1,1,6159.833333333333,5858.833333333333
J23111,1,1,7410.333333333333,7109.333333333333
J23111,1,1,6742.833333333333,6441.833333333333
J23111,1,1,6029.0,5728.0
J23111,1,1,6380.833333333333,6079.833333333333
J23111,1,1,6211.333333333333,5910.333333333333
J23111,1,1,6324.666666666667,6023.666666666667
J23111,1,1,9615.833333333334,9314.833333333334
J23111,2,1,7294.333333333333,6993.333333333333
J23111,2,1,6506.5,6205.5
J23111,2,1,9251.166666666666,8950.166666666666
J23111,2,1,8249.833333333334,7948.833333333334
J23111,2,1,9367.666666666666,9066.666666666666
J23111,2,1,8526.833333333334,8225.833333333334
J23111,2,1,6154.166666666667,5853.166666666667
J23111,2,1,6041.666666666667,5740.666666666667
J23111,3,1,8601.166666666666,8300.166666666666
J23111,3,1,8917.0,8616.0
J23111,3,1,9618.166666666666,9317.166666666666
J23111,3,1,8931.166666666666,8630.166666666666
J23111,3,1,7478.166666666667,7177.166666666667
J23111,3,1,7133.333333333333,6832.333333333333
J23111,3,1,7726.833333333333,7425.833333333333
J23111,3,1,6910.833333333333,6609.833333333333
J23101,1,1,2847.0,2546.0
J23101,1,1,2909.6666666666665,2608.6666666666665
J23101,1,1,2643.5,2342.5
J23101,1,1,2063.1666666666665,1762.1666666666665
J23101,1,1,2757.5,2456.5
J23101,1,1,2126.6666666666665,1825.6666666666665
J23101,1,1,2677.5,2376.5
J23101,1,1,2881.3333333333335,2580.3333333333335
J23101,2,1,2928.6666666666665,2627.6666666666665
J23101,2,1,3538.6666666666665,3237.6666666666665
J23101,2,1,3600.3333333333335,3299.3333333333335
J23101,2,1,2925.3333333333335,2624.3333333333335
J23101,2,1,4144.166666666667,3843.166666666667
J23101,2,1,3969.8333333333335,3668.8333333333335
J23101,2,1,2980.0,2679.0
J23101,2,1,2739.6666666666665,2438.6666666666665
J23101,3,1,2219.3333333333335,1918.3333333333335
J23101,3,1,2678.5,2377.5
J23101,3,1,2931.0,2630.0
J23101,3,1,2322.8333333333335,2021.8333333333335
J23101,3,1,2934.6666666666665,2633.6666666666665
J23101,3,1,2382.3333333333335,2081.3333333333335
