Plant,Promoter,Conc,Day,RFP,Norm_RFP,RFP_log
Tobacco,Control,None,1,582,181,7.499845887083206
Tobacco,Control,None,1,423,22,4.459431618637297
Tobacco,Control,None,1,386,-15,
Tobacco,Control,None,1,383,-18,
Tobacco,Control,None,1,481,80,6.321928094887363
Tobacco,Control,None,1,384,-17,
Tobacco,Control,None,1,489,88,6.459431618637297
Tobacco,Control,None,1,499,98,6.614709844115208
Tobacco,Control,None,1,395,-6,
Tobacco,CuO,None,1,694,293,8.194756854422248
Tobacco,CuO,None,1,804,403,8.654636028527968
Tobacco,CuO,None,1,516,115,6.845490050944375
Tobacco,CuO,Medium,1,412,11,3.4594316186372973
Tobacco,CuO,Medium,1,439,38,5.247927513443585
Tobacco,CuO,Medium,1,581,180,7.491853096329675
Tobacco,CuO,High,1,967,566,9.144658242831882
Tobacco,CuO,High,1,1325,924,9.851749041416058
Tobacco,CuO,High,1,1087,686,9.422064766172813
Tobacco,Jungle Express,None,1,490,89,6.475733430966398
Tobacco,Jungle Express,None,1,435,34,5.087462841250339
Tobacco,Jungle Express,None,1,503,102,6.672425341971495
Tobacco,Jungle Express,Medium,1,567,166,7.3750394313469245
Tobacco,Jungle Express,Medium,1,575,174,7.442943495848728
Tobacco,Jungle Express,Medium,1,493,92,6.523561956057013
Tobacco,Jungle Express,High,1,666,265,8.049848549450562
Tobacco,Jungle Express,High,1,592,191,7.577428828035749
Tobacco,Jungle Express,High,1,679,278,8.118941072723507
Tobacco,TetR,None,1,590,189,7.562242424221073
Tobacco,TetR,None,1,558,157,7.294620748891627
Tobacco,TetR,None,1,667,266,8.055282435501189
Tobacco,TetR,Medium,1,1100,699,9.449148645375436
Tobacco,TetR,Medium,1,1131,730,9.51175265376738
Tobacco,TetR,Medium,1,1044,643,9.328674927327947
Tobacco,TetR,High,1,1533,1132,10.144658242831882
Tobacco,TetR,High,1,1456,1055,10.043027283594547
Tobacco,TetR,High,1,1080,679,9.407267764244732
Tobacco,LacI,None,1,1234,833,9.702172685365548
Tobacco,LacI,None,1,851,450,8.813781191217037
Tobacco,LacI,None,1,937,536,9.066089190457772
Tobacco,LacI,Medium,1,2503,2102,11.037546953962178
Tobacco,LacI,Medium,1,6711,6310,12.623424289869911
Tobacco,LacI,Medium,1,4316,3915,11.934796592178403
Tobacco,LacI,High,1,5644,5243,12.356176830516356
Tobacco,LacI,High,1,6840,6439,12.652620934638165
Tobacco,LacI,High,1,6296,5895,12.525276097867126
Tobacco,NahR,None,1,766,365,8.51175265376738
Tobacco,NahR,None,1,373,-28,
Tobacco,NahR,None,1,691,290,8.179909090014934
Tobacco,NahR,Medium,1,2043,1642,10.681238411777805
Tobacco,NahR,Medium,1,2030,1629,10.669770888525518
Tobacco,NahR,Medium,1,1885,1484,10.535275376620802
Tobacco,NahR,High,1,4283,3882,11.922584402713664
Tobacco,NahR,High,1,3398,2997,11.549303368513575
Tobacco,NahR,High,1,3961,3560,11.79766152585376
Tobacco,Control,None,3,581,180,7.491853096329675
Tobacco,Control,None,3,431,30,4.906890595608519
Tobacco,Control,None,3,566,165,7.366322214245816
