Well,GFP,Strain,Leaf,GFP_log
A1,231980,WT,A,17.823640904166417
A2,216005,WT,A,17.720705182157577
A3,290331,WT,A,18.147339097929155
A4,176794,WT,A,17.43170978809642
A5,272143,WT,B,18.0540054023052
A6,293055,WT,B,18.16081192673219
A7,231060,WT,B,17.817908003405503
A8,141490,WT,B,17.110340566644364
A9,105104,WT,C,16.681458050210274
A10,207612,WT,C,17.663530308499432
A11,130290,WT,C,16.99136683306241
A12,150471,WT,C,17.199125940241576
B1,84539,WT,D,16.36732942658135
B2,145027,WT,D,17.145961989435072
B3,76237,WT,D,16.218203728463113
B4,76766,WT,D,16.2281798559597
B5,323440,WT,E,18.303138583159058
B6,453629,WT,E,18.791153347562684
B7,407934,WT,E,18.637976230616488
B8,246443,WT,E,17.910894477524636
B9,2571,ΔvirE12,A,11.328113894833656
B10,2162,ΔvirE12,A,11.07815080773465
B11,2278,ΔvirE12,A,11.153552031708111
B12,2251,ΔvirE12,A,11.136350341454156
C1,1483,ΔvirE12,B,10.53430288245463
C2,1642,ΔvirE12,B,10.681238411777805
C3,1873,ΔvirE12,B,10.871135184243045
C4,1949,ΔvirE12,B,10.92851837525789
C5,2123,ΔvirE12,C,11.051888655905378
C6,1583,ΔvirE12,C,10.62844554013718
C7,1749,ΔvirE12,C,10.772314573921653
C8,1780,ΔvirE12,C,10.79766152585376
C9,1833,ΔvirE12,D,10.839991070539886
C10,1412,ΔvirE12,D,10.46352437327118
C11,1669,ΔvirE12,D,10.704768239362599
C12,1433,ΔvirE12,D,10.484822894262146
D1,1691,ΔvirE12,E,10.723660944409984
D2,1809,ΔvirE12,E,10.82097669262124
D3,1706,ΔvirE12,E,10.73640193131829
D4,1566,ΔvirE12,E,10.612868497291041
D5,32002,J23114,A,14.965874450284495
D6,19876,J23114,A,14.27873982655011
D7,23801,J23114,A,14.538734569247922
D8,19764,J23114,A,14.270587340447511
D9,36617,J23114,B,15.1602259767356
D10,50480,J23114,B,15.623424289869911
D11,25823,J23114,B,14.656368995752423
D12,33469,J23114,B,15.03053782580564
