Strain,Induction,Count,Protein
GV3101,None,0.0,virE1
GV3101,None,0.0,virE1
ΔvirE12,None,0.0,virE1
ΔvirE12,None,0.0,virE1
J23100,None,0.97268,virE1
J23100,None,0.95283,virE1
J23101,None,0.0,virE1
J23101,None,0.99108,virE1
J23111,None,2.2321,virE1
J23111,None,1.0462,virE1
J23114,None,0.0,virE1
J23114,None,0.0,virE1
J23117,None,0.0,virE1
J23117,None,0.0,virE1
J23B1S,None,0.0,virE1
J23B1S,None,0.0,virE1
J23B2S,None,0.0,virE1
J23B2S,None,0.0,virE1
J23B3S,None,0.0,virE1
J23B3S,None,0.0,virE1
J23B5S,None,0.0,virE1
J23B5S,None,0.0,virE1
J23B6S,None,0.0,virE1
J23B6S,None,0.0,virE1
J23B1S,Half,0.0,virE1
J23B1S,Half,0.0,virE1
J23B2S,Half,0.0,virE1
J23B2S,Half,0.0,virE1
J23B3S,Half,1.0974,virE1
J23B3S,Half,0.97783,virE1
J23B5S,Half,0.0,virE1
J23B5S,Half,0.0,virE1
J23B6S,Half,2.0326,virE1
J23B6S,Half,2.0267,virE1
J23B1S,Full,1.0599,virE1
J23B1S,Full,0.0,virE1
J23B2S,Full,0.0,virE1
J23B2S,Full,0.94058,virE1
J23B3S,Full,1.9356,virE1
J23B3S,Full,1.9332,virE1
J23B5S,Full,0.98279,virE1
J23B5S,Full,1.0024,virE1
J23B6S,Full,3.9582,virE1
J23B6S,Full,1.9631,virE1
GV3101,None,0.0,virE2
GV3101,None,0.0,virE2
ΔvirE12,None,0.0,virE2
ΔvirE12,None,0.0,virE2
J23100,None,35.989,virE2
J23100,None,35.255,virE2
J23101,None,25.02,virE2
J23101,None,27.75,virE2
J23111,None,49.107,virE2
J23111,None,44.986,virE2
J23114,None,4.5588,virE2
J23114,None,1.9959,virE2
J23117,None,11.565,virE2
J23117,None,12.553,virE2
J23B1S,None,0.0,virE2
J23B1S,None,0.0,virE2
J23B2S,None,0.0,virE2
J23B2S,None,0.0,virE2
J23B3S,None,0.0,virE2
J23B3S,None,0.95991,virE2
J23B5S,None,0.0,virE2
J23B5S,None,0.0,virE2
J23B6S,None,0.0,virE2
J23B6S,None,0.0,virE2
J23B1S,Half,20.875,virE2
J23B1S,Half,21.715,virE2
J23B2S,Half,30.575,virE2
J23B2S,Half,31.787,virE2
J23B3S,Half,44.995,virE2
J23B3S,Half,40.091,virE2
J23B5S,Half,28.785,virE2
J23B5S,Half,33.046,virE2
J23B6S,Half,45.733,virE2
J23B6S,Half,46.615,virE2
J23B1S,Full,28.618,virE2
J23B1S,Full,29.772,virE2
J23B2S,Full,28.955,virE2
J23B2S,Full,26.336,virE2
J23B3S,Full,50.327,virE2
J23B3S,Full,50.264,virE2
J23B5S,Full,42.26,virE2
J23B5S,Full,40.094,virE2
J23B6S,Full,65.311,virE2
J23B6S,Full,61.837,virE2
