Well,GFP,Strain,Plant,Leaf,GFP_log
A1,577436.0,WT,1,Top,19.13930152901875
A2,596205.0,WT,1,Top,19.18544894880138
A3,446297.0,WT,1,Top,18.767644583290373
A4,516985.0,WT,1,Top,18.979762896680015
A5,313663.0,WT,1,Bottom,18.25885583191048
A6,341408.0,WT,1,Bottom,18.381137338968554
A7,405527.0,WT,1,Bottom,18.629438446756886
A8,304304.0,WT,1,Bottom,18.215153772279578
A9,219128.0,WT,2,Top,17.741414316958398
A10,296402.0,WT,2,Top,18.177195656832065
A11,314114.0,WT,2,Top,18.260928719497564
A12,275208.0,WT,2,Top,18.070162882676588
B1,194209.0,WT,2,Bottom,17.567250533868
B2,317213.0,WT,2,Bottom,18.275092371113058
B3,303460.0,WT,2,Bottom,18.211146837359976
B4,331432.0,WT,2,Bottom,18.33835337697368
B5,621106.0,WT,3,Top,19.244479978992377
B6,535491.0,WT,3,Top,19.03050280223311
B7,689828.0,WT,3,Top,19.395877163167896
B8,563642.0,WT,3,Top,19.104419593064666
B9,265515.0,WT,3,Bottom,18.018433841358238
B10,200112.0,WT,3,Bottom,17.610448157529547
B11,302840.0,WT,3,Bottom,18.208196247760323
B12,294253.0,WT,3,Bottom,18.166697598495976
C1,276477.0,WT,4,Top,18.076799942722836
C2,328927.0,WT,4,Top,18.327407911212557
C3,369825.0,WT,4,Top,18.496483227997
C4,237105.0,WT,4,Top,17.855166560703154
C5,103009.0,WT,4,Bottom,16.652410867069847
C6,143617.0,WT,4,Bottom,17.131867006077393
C7,327748.0,WT,4,Bottom,18.322227451225913
C8,213676.0,WT,4,Bottom,17.705065348623474
C9,459717.0,WT,5,Top,18.810386491390346
C10,431668.0,WT,5,Top,18.719562622708864
C11,338922.0,WT,5,Top,18.370593762072385
C12,344606.0,WT,5,Top,18.394588295253556
D1,319466.0,WT,5,Bottom,18.285302871206824
D2,459202.0,WT,5,Bottom,18.808769399951714
D3,396293.0,WT,5,Bottom,18.596207958637795
D4,516086.0,WT,5,Bottom,18.977251969223616
D5,640362.0,WT,6,Top,19.288528173237044
D6,753287.0,WT,6,Top,19.522840106386038
D7,546045.0,WT,6,Top,19.058660324119778
D8,557913.0,WT,6,Top,19.089680642630515
D9,407279.0,WT,6,Bottom,18.635657902878513
D10,550843.0,WT,6,Bottom,19.071281658211372
D11,425436.0,WT,6,Bottom,18.698582592418
D12,349461.0,WT,6,Bottom,18.414771933625268
E1,545718.0,WT,7,Top,19.05779610488451
E2,699713.0,WT,7,Top,19.41640377023598
E3,583924.0,WT,7,Top,19.155421083339792
E4,518827.0,WT,7,Top,18.984894034505466
E5,390448.0,WT,7,Bottom,18.574770896971778
E6,354982.0,WT,7,Bottom,18.437386346465075
E7,375244.0,WT,7,Bottom,18.517469478356194
E8,447308.0,WT,7,Bottom,18.77090903527679
E9,398152.0,WT,8,Top,18.602959779031035
E10,555381.0,WT,8,Top,19.083118296759846
E11,536163.0,WT,8,Top,19.032312138445263
E12,302551.0,WT,8,Top,18.206818827552592
F1,424947.0,WT,8,Bottom,18.6969233919101
F2,403985.0,WT,8,Bottom,18.623942201009516
F3,387932.0,WT,8,Bottom,18.565444261229466
F4,488453.0,WT,8,Bottom,18.89786022408376
F5,645.5,ΔvirB1-11,1,Top,9.33427328530719
F6,740.5,ΔvirB1-11,1,Top,9.532355925288847
F7,769.5,ΔvirB1-11,1,Top,9.58777751632821
F8,761.0,ΔvirB1-11,1,Top,9.571752643503546
F9,702.0,ΔvirB1-11,1,Bottom,9.45532722030456
F10,659.0,ΔvirB1-11,1,Bottom,9.364134655008051
F11,661.5,ΔvirB1-11,1,Bottom,9.369597346278677
F12,736.0,ΔvirB1-11,1,Bottom,9.523561956057012
G1,719.5,ΔvirB1-11,2,Top,9.490850876740298
G2,765.5,ΔvirB1-11,2,Top,9.580258567499788
G3,780.5,ΔvirB1-11,2,Top,9.608254821977908
G4,865.5,ΔvirB1-11,2,Top,9.757390009366638
G5,780.0,ΔvirB1-11,2,Bottom,9.60733031374961
G6,858.5,ΔvirB1-11,2,Bottom,9.745674324002135
G7,812.0,ΔvirB1-11,2,Bottom,9.665335917185176
G8,869.5,ΔvirB1-11,2,Bottom,9.764042217306587
G9,844.5,ΔvirB1-11,3,Top,9.721953612801386
G10,705.0,ΔvirB1-11,3,Top,9.461479447286155
G11,708.0,ΔvirB1-11,3,Top,9.467605550082997
G12,695.5,ΔvirB1-11,3,Top,9.44190670454224
H1,771.0,ΔvirB1-11,3,Bottom,9.590587049915035
H2,787.5,ΔvirB1-11,3,Bottom,9.621136113274641
H3,728.5,ΔvirB1-11,3,Bottom,9.508785162064513
H4,902.0,ΔvirB1-11,3,Bottom,9.81698362325538
H5,843.5,ΔvirB1-11,4,Top,9.720244258287567
H6,809.5,ΔvirB1-11,4,Top,9.660887270302567
H7,894.5,ΔvirB1-11,4,Top,9.804937672051908
H8,805.5,ΔvirB1-11,4,Top,9.653740778706569
H9,833.5,ΔvirB1-11,4,Bottom,9.703038388986418
H10,831.0,ΔvirB1-11,4,Bottom,9.698704666770345
H11,813.0,ΔvirB1-11,4,Bottom,9.667111542075027
H12,755.5,ΔvirB1-11,4,Bottom,9.561287945164828
A1,814.5,ΔvirB1-11,5,Top,9.669770888525518
A2,792.5,ΔvirB1-11,5,Top,9.63026712502677
A3,751.0,ΔvirB1-11,5,Top,9.552669097514272
A4,657.0,ΔvirB1-11,5,Top,9.35974956032233
A5,660.5,ΔvirB1-11,5,Bottom,9.367414751246828
A6,612.0,ΔvirB1-11,5,Bottom,9.257387842692651
A7,741.0,ΔvirB1-11,5,Bottom,9.533329732305834
A8,642.0,ΔvirB1-11,5,Bottom,9.326429487122303
A9,617.0,ΔvirB1-11,6,Top,9.269126679149418
A10,560.5,ΔvirB1-11,6,Top,9.130570562805426
A11,625.0,ΔvirB1-11,6,Top,9.287712379549449
A12,647.5,ΔvirB1-11,6,Top,9.338736382573916
B1,519.5,ΔvirB1-11,6,Bottom,9.020979938904212
B2,521.5,ΔvirB1-11,6,Bottom,9.026523442519766
B3,561.5,ΔvirB1-11,6,Bottom,9.133142212400601
B4,506.0,ΔvirB1-11,6,Bottom,8.98299357469431
B5,549.5,ΔvirB1-11,7,Top,9.101975670949232
B6,602.5,ΔvirB1-11,7,Top,9.234817431117325
B7,543.5,ΔvirB1-11,7,Top,9.086136225027309
B8,584.5,ΔvirB1-11,7,Top,9.191059214531656
B9,463.0,ΔvirB1-11,7,Bottom,8.854868383260236
B10,510.0,ΔvirB1-11,7,Bottom,8.994353436858859
B11,618.0,ΔvirB1-11,7,Bottom,9.271463027904375
B12,582.5,ΔvirB1-11,7,Bottom,9.186114239541643
C1,656.5,ΔvirB1-11,8,Top,9.358651200892886
C2,618.0,ΔvirB1-11,8,Top,9.271463027904375
C3,593.0,ΔvirB1-11,8,Top,9.211888294546004
C4,563.5,ΔvirB1-11,8,Top,9.138271800172221
C5,578.5,ΔvirB1-11,8,Bottom,9.17617314910749
C6,543.5,ΔvirB1-11,8,Bottom,9.086136225027309
C7,568.5,ΔvirB1-11,8,Bottom,9.151016538892248
C8,636.0,ΔvirB1-11,8,Bottom,9.312882955284355
F5,666.0,ΔvirB1-5,1,Top,9.379378367071261
F6,708.0,ΔvirB1-5,1,Top,9.467605550082997
F7,714.0,ΔvirB1-5,1,Top,9.479780264029099
F8,691.0,ΔvirB1-5,1,Top,9.432541900388259
F9,452.0,ΔvirB1-5,1,Bottom,8.820178962415188
F10,508.0,ΔvirB1-5,1,Bottom,8.988684686772165
F11,499.0,ΔvirB1-5,1,Bottom,8.96289600533726
F12,524.0,ΔvirB1-5,1,Bottom,9.03342300153745
G1,741.0,ΔvirB1-5,2,Top,9.533329732305834
G2,605.0,ΔvirB1-5,2,Top,9.240791332161956
G3,803.0,ΔvirB1-5,2,Top,9.649256177517314
G4,669.0,ΔvirB1-5,2,Top,9.38586240064146
G5,776.0,ΔvirB1-5,2,Bottom,9.599912842187127
G6,746.0,ΔvirB1-5,2,Bottom,9.543031820255237
