Well,GFP,Strain,Plant,Leaf,Induction,GFP_log,ID
A1,651387,WT,1,Top,0mM,19.313155401995804,WT_0mM
A2,1121389,WT,1,Top,0mM,20.09685539253488,WT_0mM
A3,688325,WT,1,Top,0mM,19.392730384100354,WT_0mM
A4,673891,WT,1,Top,0mM,19.362155732792832,WT_0mM
A5,294197,WT,1,Bottom,0mM,18.166423009584314,WT_0mM
A6,412545,WT,1,Bottom,0mM,18.65419197012481,WT_0mM
A7,414522,WT,1,Bottom,0mM,18.661089146600858,WT_0mM
A8,475514,WT,1,Bottom,0mM,18.859128291722946,WT_0mM
A9,517889,WT,2,Top,0mM,18.982283390283474,WT_0mM
A10,381892,WT,2,Top,0mM,18.54280517266062,WT_0mM
A11,565949,WT,2,Top,0mM,19.11031252614738,WT_0mM
A12,579217,WT,2,Top,0mM,19.143744420531576,WT_0mM
B1,208113,WT,2,Bottom,0mM,17.667007561805796,WT_0mM
B2,138084,WT,2,Bottom,0mM,17.07518663648071,WT_0mM
B3,295204,WT,2,Bottom,0mM,18.17135274441597,WT_0mM
B4,181693,WT,2,Bottom,0mM,17.471143313052202,WT_0mM
B5,553133,WT,3,Top,0mM,19.07726689046668,WT_0mM
B6,479524,WT,3,Top,0mM,18.87124349784391,WT_0mM
B7,478585,WT,3,Top,0mM,18.86841565450432,WT_0mM
B8,456231,WT,3,Top,0mM,18.7994049527107,WT_0mM
B9,388909,WT,3,Bottom,0mM,18.56907309595393,WT_0mM
B10,345044,WT,3,Bottom,0mM,18.396420820484817,WT_0mM
B11,312218,WT,3,Bottom,0mM,18.252194188441145,WT_0mM
B12,330591,WT,3,Bottom,0mM,18.33468792371281,WT_0mM
C1,488651,WT,4,Top,0mM,18.898444918490917,WT_0mM
C2,485382,WT,4,Top,0mM,18.88876108273583,WT_0mM
C3,448550,WT,4,Top,0mM,18.774909286184368,WT_0mM
C4,458536,WT,4,Top,0mM,18.80667547975684,WT_0mM
C5,106777,WT,4,Bottom,0mM,16.70424139525048,WT_0mM
C6,197873,WT,4,Bottom,0mM,17.59421524284266,WT_0mM
C7,334474,WT,4,Bottom,0mM,18.351534543214072,WT_0mM
C8,244748,WT,4,Bottom,0mM,17.90093754508551,WT_0mM
C9,334640,WT,5,Top,0mM,18.352250377531398,WT_0mM
C10,393255,WT,5,Top,0mM,18.58510558319118,WT_0mM
C11,377224,WT,5,Top,0mM,18.525061941487735,WT_0mM
C12,342323,WT,5,Top,0mM,18.384998701845035,WT_0mM
D1,65671,WT,5,Bottom,0mM,16.002968803482272,WT_0mM
D2,166742,WT,5,Bottom,0mM,17.34725801943171,WT_0mM
D3,158807,WT,5,Bottom,0mM,17.276914980385634,WT_0mM
D4,86517,WT,5,Bottom,0mM,16.400696019882158,WT_0mM
D5,713,ΔvirB1-5,1,Top,0mM,9.477758266443889,ΔvirB1-5_0mM
D6,701,ΔvirB1-5,1,Top,0mM,9.453270634010623,ΔvirB1-5_0mM
D7,821,ΔvirB1-5,1,Top,0mM,9.681238411777805,ΔvirB1-5_0mM
D8,874,ΔvirB1-5,1,Top,0mM,9.7714894695006,ΔvirB1-5_0mM
D9,1412,ΔvirB1-5,1,Bottom,0mM,10.46352437327118,ΔvirB1-5_0mM
D10,896,ΔvirB1-5,1,Bottom,0mM,9.807354922057604,ΔvirB1-5_0mM
D11,1843,ΔvirB1-5,1,Bottom,0mM,10.847840355630714,ΔvirB1-5_0mM
D12,5071,ΔvirB1-5,1,Bottom,0mM,12.308054559066635,ΔvirB1-5_0mM
E1,1415,ΔvirB1-5,2,Top,0mM,10.466586337719244,ΔvirB1-5_0mM
E2,750,ΔvirB1-5,2,Top,0mM,9.550746785383243,ΔvirB1-5_0mM
E3,880,ΔvirB1-5,2,Top,0mM,9.78135971352466,ΔvirB1-5_0mM
E4,1098,ΔvirB1-5,2,Top,0mM,10.100662339005199,ΔvirB1-5_0mM
E5,5504,ΔvirB1-5,2,Bottom,0mM,12.426264754702098,ΔvirB1-5_0mM
E6,4654,ΔvirB1-5,2,Bottom,0mM,12.184255495405349,ΔvirB1-5_0mM
E7,943,ΔvirB1-5,2,Bottom,0mM,9.881113960675096,ΔvirB1-5_0mM
E8,1096,ΔvirB1-5,2,Bottom,0mM,10.098032082960527,ΔvirB1-5_0mM
E9,5193,ΔvirB1-5,3,Top,0mM,12.342352510087794,ΔvirB1-5_0mM
E10,1052,ΔvirB1-5,3,Top,0mM,10.038918989292302,ΔvirB1-5_0mM
E11,742,ΔvirB1-5,3,Top,0mM,9.535275376620802,ΔvirB1-5_0mM
E12,3854,ΔvirB1-5,3,Top,0mM,11.912140856295721,ΔvirB1-5_0mM
F1,1281,ΔvirB1-5,3,Bottom,0mM,10.323054760341646,ΔvirB1-5_0mM
F2,829,ΔvirB1-5,3,Bottom,0mM,9.69522829149575,ΔvirB1-5_0mM
F3,816,ΔvirB1-5,3,Bottom,0mM,9.672425341971495,ΔvirB1-5_0mM
F4,750,ΔvirB1-5,3,Bottom,0mM,9.550746785383243,ΔvirB1-5_0mM
F5,827,ΔvirB1-5,4,Top,0mM,9.691743519171276,ΔvirB1-5_0mM
F6,1338,ΔvirB1-5,4,Top,0mM,10.38586240064146,ΔvirB1-5_0mM
F7,8178,ΔvirB1-5,4,Top,0mM,12.997532347526366,ΔvirB1-5_0mM
F8,3097,ΔvirB1-5,4,Top,0mM,11.596655667674662,ΔvirB1-5_0mM
F9,5819,ΔvirB1-5,4,Bottom,0mM,12.506555530751323,ΔvirB1-5_0mM
F10,3356,ΔvirB1-5,4,Bottom,0mM,11.712527000439824,ΔvirB1-5_0mM
F11,4263,ΔvirB1-5,4,Bottom,0mM,12.057653339963936,ΔvirB1-5_0mM
F12,1284,ΔvirB1-5,4,Bottom,0mM,10.326429487122303,ΔvirB1-5_0mM
G1,876,ΔvirB1-5,5,Top,0mM,9.774787059601174,ΔvirB1-5_0mM
G2,631,ΔvirB1-5,5,Top,0mM,9.30149619498255,ΔvirB1-5_0mM
G3,693,ΔvirB1-5,5,Top,0mM,9.436711542137214,ΔvirB1-5_0mM
G4,766,ΔvirB1-5,5,Top,0mM,9.581200581924957,ΔvirB1-5_0mM
G5,806,ΔvirB1-5,5,Bottom,0mM,9.654636028527968,ΔvirB1-5_0mM
G6,1034,ΔvirB1-5,5,Bottom,0mM,10.014020470314934,ΔvirB1-5_0mM
G7,902,ΔvirB1-5,5,Bottom,0mM,9.81698362325538,ΔvirB1-5_0mM
G8,815,ΔvirB1-5,5,Bottom,0mM,9.67065624911844,ΔvirB1-5_0mM
G9,11563,ΔvirB1-5,1,Top,0.2mM,13.497228130642114,ΔvirB1-5_0.2mM
G10,21323,ΔvirB1-5,1,Top,0.2mM,14.380122809233894,ΔvirB1-5_0.2mM
G11,7397,ΔvirB1-5,1,Top,0.2mM,12.852724560447674,ΔvirB1-5_0.2mM
G12,102020,ΔvirB1-5,1,Top,0.2mM,16.638492480284306,ΔvirB1-5_0.2mM
H1,18544,ΔvirB1-5,1,Bottom,0.2mM,14.178664851006472,ΔvirB1-5_0.2mM
H2,6144,ΔvirB1-5,1,Bottom,0.2mM,12.584962500721156,ΔvirB1-5_0.2mM
H3,15695,ΔvirB1-5,1,Bottom,0.2mM,13.938017408469477,ΔvirB1-5_0.2mM
H4,5454,ΔvirB1-5,1,Bottom,0.2mM,12.413098984915264,ΔvirB1-5_0.2mM
H5,2942,ΔvirB1-5,2,Top,0.2mM,11.522581531254831,ΔvirB1-5_0.2mM
H6,1604,ΔvirB1-5,2,Top,0.2mM,10.64745842645492,ΔvirB1-5_0.2mM
H7,11452,ΔvirB1-5,2,Top,0.2mM,13.483311954999353,ΔvirB1-5_0.2mM
H8,7651,ΔvirB1-5,2,Top,0.2mM,12.90143260772951,ΔvirB1-5_0.2mM
H9,10771,ΔvirB1-5,2,Bottom,0.2mM,13.39486457818436,ΔvirB1-5_0.2mM
H10,3261,ΔvirB1-5,2,Bottom,0.2mM,11.671098725748465,ΔvirB1-5_0.2mM
H11,15648,ΔvirB1-5,2,Bottom,0.2mM,13.933690654952233,ΔvirB1-5_0.2mM
H12,10980,ΔvirB1-5,2,Bottom,0.2mM,13.42259043389256,ΔvirB1-5_0.2mM
A1,3811,ΔvirB1-5,3,Top,0.2mM,11.895953892812168,ΔvirB1-5_0.2mM
A2,3540,ΔvirB1-5,3,Top,0.2mM,11.78953364497036,ΔvirB1-5_0.2mM
