Well,GFP,Strain,Plant,Leaf,GFP_log
A1,442081,WT,1,Top,18.753951205121428
A2,534247,WT,1,Top,19.027147376063546
A3,369060,WT,1,Top,18.493495856212128
A4,455186,WT,1,Top,18.796096660286103
A5,68986,WT,1,Bottom,16.074015991007
A6,86914,WT,1,Bottom,16.407300962846573
A7,163302,WT,1,Bottom,17.317182934487754
A8,228049,WT,1,Bottom,17.79898431839611
A9,182469,WT,2,Top,17.477291857086257
A10,376875,WT,2,Top,18.523726571449533
A11,88236,WT,2,Top,16.42907977030915
A12,581379,WT,2,Top,19.149119435241847
B1,213395,WT,2,Bottom,17.703166847601434
B2,331123,WT,2,Bottom,18.337007699105563
B3,445593,WT,2,Bottom,18.765367043415004
B4,106610,WT,2,Bottom,16.70198324343226
B5,416380,WT,3,Top,18.667541247700036
B6,387344,WT,3,Top,18.563255866782328
B7,498554,WT,3,Top,18.927390250500515
B8,281822,WT,3,Top,18.104424712244857
B9,265281,WT,3,Bottom,18.017161824758873
B10,346763,WT,3,Bottom,18.403590444033902
B11,395493,WT,3,Bottom,18.593292634483404
B12,508631,WT,3,Bottom,18.95625986840218
C1,414963,WT,4,Top,18.66262317933919
C2,539342,WT,4,Top,19.04084085917047
C3,563657,WT,4,Top,19.10445798647336
C4,528137,WT,4,Top,19.01055269110964
C5,340181,WT,4,Bottom,18.37594303939091
C6,294997,WT,4,Bottom,18.170340757361696
C7,121332,WT,4,Bottom,16.88860057026086
C8,281007,WT,4,Bottom,18.100246543457754
C9,80538,WT,5,Top,16.297382025834757
C10,254319,WT,5,Top,17.95627972325923
C11,612151,WT,5,Top,19.223528042519256
C12,339715,WT,5,Top,18.37396539576798
D1,375677,WT,5,Bottom,18.5191332672819
D2,368534,WT,5,Bottom,18.491438199235127
D3,244926,WT,5,Bottom,17.90198640505598
D4,157530,WT,5,Bottom,17.26526707593676
D5,279825,WT,6,Top,18.09416533531266
D6,320838,WT,6,Top,18.291485498913083
D7,271829,WT,6,Top,18.0523398522653
D8,280878,WT,6,Top,18.09958410305253
D9,379625,WT,6,Bottom,18.534215477829548
D10,423557,WT,6,Bottom,18.692196607120156
D11,254351,WT,6,Bottom,17.956461240712073
D12,346098,WT,6,Bottom,18.40082107904789
E1,166379,WT,7,Top,17.344113825537427
E2,401787,WT,7,Top,18.616071360212988
E3,549537,WT,7,Top,19.067857094682218
E4,366669,WT,7,Top,18.484118773110364
E5,88122,WT,7,Bottom,16.42721461808959
E6,279649,WT,7,Bottom,18.093257645820128
E7,23264,WT,7,Bottom,14.505811553919594
E8,255828,WT,7,Bottom,17.964814648157738
E9,426722,WT,8,Top,18.702936966210224
E10,421724,WT,8,Top,18.685939601094717
E11,393934,WT,8,Top,18.58759441414717
E12,404106,WT,8,Top,18.62437424666094
F1,111827,WT,8,Bottom,16.77090903527679
F2,134764,WT,8,Bottom,17.040075630022475
F3,372791,WT,8,Bottom,18.508007504997405
F4,231875,WT,8,Bottom,17.822987756170253
F5,4798,ΔvirB1-11,1,Top,12.228217442293435
F6,5354,ΔvirB1-11,1,Top,12.386401423640777
F7,5444,ΔvirB1-11,1,Top,12.410451351503994
F8,5344,ΔvirB1-11,1,Top,12.383704292474052
F9,4044,ΔvirB1-11,1,Bottom,11.981567281903015
F10,4318,ΔvirB1-11,1,Bottom,12.076147528022505
F11,4670,ΔvirB1-11,1,Bottom,12.189206834597025
F12,4940,ΔvirB1-11,1,Bottom,12.27029532647204
G1,7936,ΔvirB1-11,2,Top,12.954196310386875
G2,8098,ΔvirB1-11,2,Top,12.983349927676457
G3,8492,ΔvirB1-11,2,Top,13.051888655905378
G4,4750,ΔvirB1-11,2,Top,12.213711798105672
G5,7658,ΔvirB1-11,2,Bottom,12.902751944850161
G6,4126,ΔvirB1-11,2,Bottom,12.010528105886484
G7,5790,ΔvirB1-11,2,Bottom,12.4993476328766
G8,4328,ΔvirB1-11,2,Bottom,12.079484783826816
G9,4262,ΔvirB1-11,3,Top,12.057314877782703
G10,5498,ΔvirB1-11,3,Top,12.424691191512954
G11,3692,ΔvirB1-11,3,Top,11.850186837645774
G12,4454,ΔvirB1-11,3,Top,12.12088584278779
H1,4538,ΔvirB1-11,3,Bottom,12.147840893672337
H2,5228,ΔvirB1-11,3,Bottom,12.352043425795433
H3,3230,ΔvirB1-11,3,Bottom,11.657318449581288
H4,4900,ΔvirB1-11,3,Bottom,12.258566033889933
H5,5906,ΔvirB1-11,4,Top,12.527965641133955
H6,7370,ΔvirB1-11,4,Top,12.847448903982432
H7,4216,ΔvirB1-11,4,Top,12.041659151637214
H8,11558,ΔvirB1-11,4,Top,13.496604154575603
H9,5112,ΔvirB1-11,4,Bottom,12.319672120946995
H10,3394,ΔvirB1-11,4,Bottom,11.728770849542663
H11,5676,ΔvirB1-11,4,Bottom,12.470658874060552
H12,5140,ΔvirB1-11,4,Bottom,12.32755264408124
A1,5562,ΔvirB1-11,5,Top,12.441388029346687
A2,5742,ΔvirB1-11,5,Top,12.487337615207181
A3,4554,ΔvirB1-11,5,Top,12.152918576136623
A4,4932,ΔvirB1-11,5,Top,12.26795708440284
A5,3724,ΔvirB1-11,5,Bottom,11.862637357558794
A6,4248,ΔvirB1-11,5,Bottom,12.052568050804153
A7,2946,ΔvirB1-11,5,Bottom,11.524541715035848
A8,3732,ΔvirB1-11,5,Bottom,11.86573327085176
A9,5828,ΔvirB1-11,6,Top,12.508785162064513
A10,6536,ΔvirB1-11,6,Top,12.674192268145683
A11,5328,ΔvirB1-11,6,Top,12.379378367071261
A12,4574,ΔvirB1-11,6,Top,12.159240650411673
B1,5412,ΔvirB1-11,6,Bottom,12.401946123976536
B2,3230,ΔvirB1-11,6,Bottom,11.657318449581288
B3,4080,ΔvirB1-11,6,Bottom,11.994353436858859
B4,3580,ΔvirB1-11,6,Bottom,11.805743872151618
B5,5328,ΔvirB1-11,7,Top,12.379378367071261
