Well,OD_Agro,RFP_Agro,Norm_RFP_Agro,Promoter,OD_Ecoli,RFP_Ecoli,Norm_RFP_Ecoli
A1,0.939,20823,22183,J23100,0.621,7616,12272
B1,0.933,19321,20715,J23100,0.717,8739,12192
C1,0.917,19480,21236,J23100,0.631,6980,11055
D1,0.914,19938,21824,J23100,0.96,11266,11733
E1,0.941,19923,21179,J23100,0.772,11059,14318
F1,0.865,18449,21341,J23100,0.927,13277,14319
G1,0.9,19635,21814,J23100,0.977,10531,10784
H1,0.903,19908,22051,J23100,0.865,11984,13858
A2,0.832,10722,12887,J23101,0.646,8081,12515
B2,0.819,10238,12504,J23101,0.7,8624,12324
C2,0.906,11377,12560,J23101,0.845,9738,11522
D2,0.874,10782,12331,J23101,0.624,8086,12954
E2,0.872,11185,12821,J23101,0.637,6732,10573
F2,0.848,10166,11988,J23101,0.877,10187,11612
G2,0.841,10633,12637,J23101,0.775,8025,10348
H2,0.861,10218,11870,J23101,0.711,11829,16644
A3,0.93,21724,23369,J23102,0.629,9678,15381
B3,0.915,21069,23021,J23102,0.66,9202,13940
C3,0.896,21245,23698,J23102,0.693,8369,12071
D3,0.917,21746,23714,J23102,1.214,18591,15318
E3,0.892,21272,23842,J23102,0.614,7673,12489
F3,0.938,22068,23529,J23102,0.653,9109,13947
G3,0.9,21073,23409,J23102,0.645,9091,14086
H3,0.869,20516,23603,J23102,0.604,7959,13179
A4,0.795,111,140,J23103,0.647,11356,17549
B4,0.808,116,144,J23103,0.665,12028,18095
C4,0.759,96,126,J23103,0.663,10744,16195
D4,0.759,101,133,J23103,0.768,13229,17232
E4,0.767,102,133,J23103,0.708,11599,16374
F4,0.743,98,132,J23103,0.686,11498,16754
G4,0.764,109,143,J23103,0.706,14068,19938
H4,0.741,112,151,J23103,0.721,11996,16631
A5,0.891,20145,22607,J23104,0.587,10624,18096
B5,0.87,19126,21984,J23104,0.808,18748,23203
C5,0.819,18805,22961,J23104,0.677,12250,18103
D5,0.829,19687,23742,J23104,0.661,10951,16557
E5,0.917,19894,21690,J23104,0.713,16320,22880
F5,0.852,19373,22752,J23104,0.783,16254,20764
G5,0.876,19738,22532,J23104,0.654,12636,19309
H5,0.809,18452,22811,J23104,1.012,19334,19112
A6,0.771,2625,3406,J23105,0.54,1199,2220
B6,0.793,2710,3416,J23105,0.565,1202,2127
C6,0.76,2500,3287,J23105,0.786,1996,2538
D6,0.754,2457,3260,J23105,0.678,1587,2341
E6,0.771,2538,3294,J23105,0.584,1168,1999
F6,0.782,2536,3242,J23105,0.638,1475,2310
G6,0.763,2506,3286,J23105,0.593,1324,2235
H6,0.768,2645,3444,J23105,0.808,2089,2584
A7,0.819,5825,7111,J23106,0.802,3206,3997
B7,0.795,5432,6830,J23106,0.752,3366,4474
C7,0.745,4664,6263,J23106,0.602,2947,4894
D7,0.786,5345,6803,J23106,0.621,2914,4689
E7,0.832,6035,7256,J23106,0.592,2515,4251
F7,0.817,5648,6916,J23106,0.687,2719,3958
G7,0.84,6023,7172,J23106,0.617,3049,4942
H7,0.791,5509,6967,J23106,0.761,4225,5553
A8,0.763,1870,2449,J23107,1.078,2392,2219
B8,0.75,1793,2392,J23107,0.851,1555,1828
C8,0.691,1583,2290,J23107,0.983,2188,2226
D8,0.697,1603,2299,J23107,0.951,2500,2628
E8,0.652,1432,2197,J23107,0.614,1459,2375
F8,0.706,1579,2236,J23107,1.317,3834,2912
G8,0.726,1726,2377,J23107,0.769,2217,2882
H8,0.719,1697,2362,J23107,0.628,1826,2907
A9,0.763,274,359,J23108,0.725,716,988
B9,0.753,263,349,J23108,0.575,451,784
C9,0.711,231,325,J23108,0.656,387,590
D9,0.683,226,331,J23108,0.542,340,627
E9,0.729,239,328,J23108,0.584,365,625
F9,0.7,226,323,J23108,0.618,445,721
G9,0.739,246,333,J23108,0.597,420,704
H9,0.725,250,345,J23108,0.542,362,667
A10,0.802,3440,4289,J23110,0.568,3853,6783
B10,0.795,3382,4254,J23110,0.777,4514,5812
C10,0.805,3383,4200,J23110,0.802,3689,4599
D10,0.801,3289,4107,J23110,0.568,2880,5074
E10,0.772,3017,3906,J23110,0.579,3085,5328
F10,0.775,3167,4086,J23110,0.579,3131,5409
G10,0.801,3365,4202,J23110,0.585,3583,6126
H10,0.76,3014,3967,J23110,0.982,5738,5845
A11,0.91,19740,21692,J23111,0.686,10160,14817
B11,0.921,20782,22557,J23111,0.701,10591,15108
C11,0.888,19167,21594,J23111,0.688,9616,13985
D11,0.913,19983,21887,J23111,0.676,9217,13633
E11,0.904,20485,22660,J23111,0.705,10747,15244
F11,0.881,19218,21801,J23111,0.672,9280,13801
G11,0.877,18868,21504,J23111,0.682,8570,12572
H11,0.863,18478,21406,J23111,0.672,9232,13740
A12,0.937,21313,22746,J23113,0.684,13064,19111
B12,0.994,21935,22063,J23113,0.678,11433,16853
C12,0.855,18443,21578,J23113,0.654,10375,15869
D12,0.91,19757,21704,J23113,0.756,14491,19160
E12,0.876,19094,21789,J23113,0.656,11092,16914
F12,0.901,19371,21502,J23113,0.659,11271,17101
G12,0.872,18386,21095,J23113,0.664,11067,16655
H12,0.88,18804,21356,J23113,0.663,11067,16695
A1,0.84,440,524,J23114,0.724,263,363
B1,0.835,443,530,J23114,0.706,274,388
C1,0.802,403,503,J23114,0.52,166,319
D1,0.826,426,516,J23114,0.576,225,391
E1,0.829,429,518,J23114,0.536,199,371
F1,0.791,397,502,J23114,0.554,214,386
G1,0.814,462,567,J23114,0.687,293,426
H1,0.84,473,563,J23114,0.791,236,298
A2,0.789,2170,2750,J23117,1.09,164,151
B2,0.822,2325,2828,J23117,0.715,86,120
C2,0.78,2071,2654,J23117,0.727,82,113
D2,0.803,2249,2800,J23117,0.895,123,137
E2,0.794,2173,2737,J23117,0.777,93,120
F2,0.782,2164,2765,J23117,0.728,104,143
G2,0.804,2266,2819,J23117,0.606,103,170
H2,0.799,2257,2825,J23117,0.698,116,166
A3,0.972,19085,19641,J23118,0.619,5099,8243
B3,0.955,18351,19226,J23118,0.716,5902,8242
C3,0.966,17750,18382,J23118,0.623,4900,7868
D3,0.944,17996,19060,J23118,0.641,4942,7711
E3,0.941,18444,19609,J23118,0.702,5573,7940
F3,0.917,17963,19589,J23118,0.598,4838,8094
G3,0.96,18835,19616,J23118,0.652,5403,8280
H3,0.942,18272,19407,J23118,0.657,6677,10155
A4,0.89,21687,24354,J23119,0.728,16392,22510
B4,0.895,21452,23969,J23119,0.72,14945,20745
C4,0.867,19513,22504,J23119,0.73,14050,19260
D4,0.877,20584,23474,J23119,0.726,16342,22500
E4,0.901,21233,23566,J23119,0.716,14556,20335
F4,0.861,19562,22723,J23119,0.734,14670,19978
G4,0.894,21593,24153,J23119,0.698,13803,19767
H4,0.865,20405,23592,J23119,0.724,13907,19211
A5,0.558,18,32,Control,0.465,14,30
B5,0.567,20,35,Control,0.425,11,26
C5,0.551,16,29,Control,0.511,11,22
D5,0.556,16,29,Control,0.784,16,20
E5,0.562,16,28,Control,0.479,10,21
F5,0.548,18,33,Control,1.021,16,16
G5,0.54,19,35,Control,0.683,14,21
H5,0.563,19,34,Control,0.499,14,28
