Well,GFP,Strain,Plant,Leaf,Promoter,GFP_log
A1,253239,WT,1,Top,J23117,17.950140078151826
A2,198311,WT,1,Top,J23117,17.597405178253243
A3,235952,WT,1,Top,J23117,17.848133874679753
A4,208438,WT,1,Top,J23117,17.669258791467612
A5,370471,WT,1,Bottom,J23117,18.499001089049806
A6,437002,WT,1,Bottom,J23117,18.737280356870876
A7,324598,WT,1,Bottom,J23117,18.308294585231597
A8,377169,WT,1,Bottom,J23117,18.52485157838153
A9,580718,WT,2,Top,J23117,19.147478227107122
A10,358777,WT,2,Top,J23117,18.452727881278403
A11,472118,WT,2,Top,J23117,18.848787962707444
A12,584526,WT,2,Top,J23117,19.15690767239617
B1,332714,WT,2,Bottom,J23117,18.34392304791826
B2,285960,WT,2,Bottom,J23117,18.12545383179879
B3,332386,WT,2,Bottom,J23117,18.342500091936383
B4,111274,WT,2,Bottom,J23117,16.763757010036937
B5,379227,WT,3,Top,J23117,18.532702158555374
B6,399128,WT,3,Top,J23117,18.60649196612534
B7,407850,WT,3,Top,J23117,18.63767912652064
B8,446695,WT,3,Top,J23117,18.768930580621355
B9,181948,WT,3,Bottom,J23117,17.47316666738094
B10,179427,WT,3,Bottom,J23117,17.45303747637275
B11,224034,WT,3,Bottom,J23117,17.773358170599593
B12,394933,WT,3,Bottom,J23117,18.59124839667222
C1,362440,WT,4,Top,J23117,18.467382658896877
C2,283894,WT,4,Top,J23117,18.114992832968234
C3,376399,WT,4,Top,J23117,18.521903269620804
C4,280052,WT,4,Top,J23117,18.095335205810027
C5,296212,WT,4,Bottom,J23117,18.17627056202445
C6,252469,WT,4,Bottom,J23117,17.945746728471946
C7,266459,WT,4,Bottom,J23117,18.023554037262983
C8,187028,WT,4,Bottom,J23117,17.512894746887625
C9,316905,WT,5,Top,J23117,18.27369089660031
C10,343832,WT,5,Top,J23117,18.391344295264787
C11,425072,WT,5,Top,J23117,18.697347704499375
C12,352938,WT,5,Top,J23117,18.429055244481194
D1,297452,WT,5,Bottom,J23117,18.18229735311263
D2,275260,WT,5,Bottom,J23117,18.070435451263133
D3,358022,WT,5,Bottom,J23117,18.4496887164395
D4,293154,WT,5,Bottom,J23117,18.161299216454477
D5,403938,WT,6,Top,J23117,18.62377434672885
D6,573762,WT,6,Top,J23117,19.130092896661644
D7,406611,WT,6,Top,J23117,18.633289719208214
D8,484533,WT,6,Top,J23117,18.886235400789378
D9,391378,WT,6,Bottom,J23117,18.57820313642365
D10,181187,WT,6,Bottom,J23117,17.467119921496767
D11,222899,WT,6,Bottom,J23117,17.766030618633053
D12,316740,WT,6,Bottom,J23117,18.272939546279147
E1,368690,WT,7,Top,J23117,18.492048761098925
E2,396103,WT,7,Top,J23117,18.595516102386572
E3,359470,WT,7,Top,J23117,18.45551184828023
