Well,GFP,Strain,Promoter,Plant,Leaf,GFP_log
F5,3598.5,ΔvirB1-11,J23117,1,Top,11.81317994301459
F6,4015.5,ΔvirB1-11,J23117,1,Top,11.971363924361935
F7,4083.0,ΔvirB1-11,J23117,1,Top,11.99541385222515
F8,4008.0,ΔvirB1-11,J23117,1,Top,11.968666793195208
F9,3033.0,ΔvirB1-11,J23117,1,Bottom,11.56652978262417
F10,3238.5,ΔvirB1-11,J23117,1,Bottom,11.66111002874366
F11,3502.5,ΔvirB1-11,J23117,1,Bottom,11.77416933531818
F12,3705.0,ΔvirB1-11,J23117,1,Bottom,11.855257827193196
G1,5952.0,ΔvirB1-11,J23117,2,Top,12.539158811108031
G2,6073.5,ΔvirB1-11,J23117,2,Top,12.568312428397613
G3,6369.0,ΔvirB1-11,J23117,2,Top,12.636851156626534
G4,3562.5,ΔvirB1-11,J23117,2,Top,11.798674298826828
G5,5743.5,ΔvirB1-11,J23117,2,Bottom,12.487714445571317
G6,3094.5,ΔvirB1-11,J23117,2,Bottom,11.59549060660764
G7,4342.5,ΔvirB1-11,J23117,2,Bottom,12.084310133597755
G8,3246.0,ΔvirB1-11,J23117,2,Bottom,11.664447284547972
G9,3196.5,ΔvirB1-11,J23117,3,Top,11.64227737850386
G10,4123.5,ΔvirB1-11,J23117,3,Top,12.00965369223411
G11,2769.0,ΔvirB1-11,J23117,3,Top,11.43514933836693
G12,3340.5,ΔvirB1-11,J23117,3,Top,11.705848343508945
H1,3403.5,ΔvirB1-11,J23117,3,Bottom,11.732803394393494
H2,3921.0,ΔvirB1-11,J23117,3,Bottom,11.937005926516589
H3,2422.5,ΔvirB1-11,J23117,3,Bottom,11.242280950302444
H4,3675.0,ΔvirB1-11,J23117,3,Bottom,11.843528534611089
H5,4429.5,ΔvirB1-11,J23117,4,Top,12.112928141855111
H6,5527.5,ΔvirB1-11,J23117,4,Top,12.432411404703588
H7,3162.0,ΔvirB1-11,J23117,4,Top,11.62662165235837
H8,8668.5,ΔvirB1-11,J23117,4,Top,13.08156665529676
H9,3834.0,ΔvirB1-11,J23117,4,Bottom,11.904634621668151
H10,2545.5,ΔvirB1-11,J23117,4,Bottom,11.313733350263819
H11,4257.0,ΔvirB1-11,J23117,4,Bottom,12.055621374781708
H12,3855.0,ΔvirB1-11,J23117,4,Bottom,11.912515144802397
A1,4171.5,ΔvirB1-11,J23117,5,Top,12.026350530067843
A2,4306.5,ΔvirB1-11,J23117,5,Top,12.072300115928337
A3,3415.5,ΔvirB1-11,J23117,5,Top,11.737881076857779
A4,3699.0,ΔvirB1-11,J23117,5,Top,11.852919585123995
A5,2793.0,ΔvirB1-11,J23117,5,Bottom,11.44759985827995
A6,3186.0,ΔvirB1-11,J23117,5,Bottom,11.63753055152531
A7,2209.5,ΔvirB1-11,J23117,5,Bottom,11.109504215757006
A8,2799.0,ΔvirB1-11,J23117,5,Bottom,11.450695771572915
A9,4371.0,ΔvirB1-11,J23117,6,Top,12.093747662785669
A10,4902.0,ΔvirB1-11,J23117,6,Top,12.25915476886684
A11,3996.0,ΔvirB1-11,J23117,6,Top,11.964340867792417
A12,3430.5,ΔvirB1-11,J23117,6,Top,11.74420315113283
B1,4059.0,ΔvirB1-11,J23117,6,Bottom,11.986908624697694
B2,2422.5,ΔvirB1-11,J23117,6,Bottom,11.242280950302444
B3,3060.0,ΔvirB1-11,J23117,6,Bottom,11.579315937580015
B4,2685.0,ΔvirB1-11,J23117,6,Bottom,11.390706372872774
B5,3996.0,ΔvirB1-11,J23117,7,Top,11.964340867792417
B6,3292.5,ΔvirB1-11,J23117,7,Top,11.684967725143876
B7,2971.5,ΔvirB1-11,J23117,7,Top,11.536975665610642
B8,4335.0,ΔvirB1-11,J23117,7,Top,12.081816278109198
B9,3814.5,ΔvirB1-11,J23117,7,Bottom,11.897278247411263
B10,2853.0,ΔvirB1-11,J23117,7,Bottom,11.47826403158172
B11,4314.0,ΔvirB1-11,J23117,7,Bottom,12.074810461160453
B12,3273.0,ΔvirB1-11,J23117,7,Bottom,11.676397887044763
C1,5385.0,ΔvirB1-11,J23117,8,Top,12.39473062943157
C2,8380.5,ΔvirB1-11,J23117,8,Top,13.032820605675186
C3,5946.0,ΔvirB1-11,J23117,8,Top,12.537703747907644
C4,5788.5,ΔvirB1-11,J23117,8,Top,12.498973829262411
C5,5383.5,ΔvirB1-11,J23117,8,Bottom,12.394328708537234
C6,4282.5,ΔvirB1-11,J23117,8,Bottom,12.064237530971361
C7,3801.0,ΔvirB1-11,J23117,8,Bottom,11.892163309861965
C8,4086.0,ΔvirB1-11,J23117,8,Bottom,11.996473488733228
A1,9482.0,ΔvirB1-11,J23101,1,Top,13.210975677726395
A2,11496.0,ΔvirB1-11,J23101,1,Top,13.488844346457336
A3,10036.0,ΔvirB1-11,J23101,1,Top,13.292896755409172
A4,6058.0,ΔvirB1-11,J23101,1,Top,12.564625862795372
A5,8559.0,ΔvirB1-11,J23101,1,Bottom,13.063226532302876
A6,5205.0,ΔvirB1-11,J23101,1,Bottom,12.34568244818678
A7,6412.0,ΔvirB1-11,J23101,1,Bottom,12.646558710154547
A8,7445.0,ΔvirB1-11,J23101,1,Bottom,12.862056133469462
A9,5811.0,ΔvirB1-11,J23101,2,Top,12.50457073932441
