Well,GFP,Strain,Plant,Leaf,vir
A1,496367.0,WT,1,Top,virB
A2,418112.0,WT,1,Top,virB
A3,629010.0,WT,1,Top,virB
A4,472149.0,WT,1,Top,virB
A5,752435.0,WT,1,Bottom,virB
A6,728654.0,WT,1,Bottom,virB
A7,627808.0,WT,1,Bottom,virB
A8,536367.0,WT,1,Bottom,virB
A9,627998.0,WT,2,Top,virB
A10,713885.0,WT,2,Top,virB
A11,595824.0,WT,2,Top,virB
A12,739150.0,WT,2,Top,virB
B1,428641.0,WT,2,Bottom,virB
B2,484404.0,WT,2,Bottom,virB
B3,489772.0,WT,2,Bottom,virB
B4,443433.0,WT,2,Bottom,virB
B5,521545.0,WT,3,Top,virB
B6,609536.0,WT,3,Top,virB
B7,631860.0,WT,3,Top,virB
B8,581409.0,WT,3,Top,virB
B9,465274.0,WT,3,Bottom,virB
B10,486232.0,WT,3,Bottom,virB
B11,460232.0,WT,3,Bottom,virB
B12,381572.0,WT,3,Bottom,virB
C1,569759.0,WT,4,Top,virB
C2,471289.0,WT,4,Top,virB
C3,891847.0,WT,4,Top,virB
C4,409762.0,WT,4,Top,virB
C5,776462.0,WT,4,Bottom,virB
C6,767704.0,WT,4,Bottom,virB
C7,689541.0,WT,4,Bottom,virB
C8,732769.0,WT,4,Bottom,virB
C9,392444.0,WT,5,Top,virB
C10,380365.0,WT,5,Top,virB
C11,358244.0,WT,5,Top,virB
C12,556977.0,WT,5,Top,virB
D1,637196.0,WT,5,Bottom,virB
D2,716933.0,WT,5,Bottom,virB
D3,691955.0,WT,5,Bottom,virB
D4,715932.0,WT,5,Bottom,virB
D5,467185.0,WT,6,Top,virB
D6,487831.0,WT,6,Top,virB
D7,432306.0,WT,6,Top,virB
D8,586299.0,WT,6,Top,virB
D9,443228.0,WT,6,Bottom,virB
D10,437965.0,WT,6,Bottom,virB
D11,421176.0,WT,6,Bottom,virB
D12,518833.0,WT,6,Bottom,virB
E1,436407.0,WT,7,Top,virB
E2,602594.0,WT,7,Top,virB
E3,578121.0,WT,7,Top,virB
E4,552410.0,WT,7,Top,virB
E5,633671.0,WT,7,Bottom,virB
E6,467115.0,WT,7,Bottom,virB
E7,385598.0,WT,7,Bottom,virB
E8,390435.0,WT,7,Bottom,virB
E9,1074984.0,WT,8,Top,virB
E10,836847.0,WT,8,Top,virB
E11,487834.0,WT,8,Top,virB
E12,805417.0,WT,8,Top,virB
F1,747009.0,WT,8,Bottom,virB
F2,564136.0,WT,8,Bottom,virB
F3,530000.0,WT,8,Bottom,virB
F4,491830.0,WT,8,Bottom,virB
F5,1153.0,ΔvirB1-11,1,Top,virB
F6,1110.0,ΔvirB1-11,1,Top,virB
F7,1170.0,ΔvirB1-11,1,Top,virB
F8,1117.0,ΔvirB1-11,1,Top,virB
F9,1151.0,ΔvirB1-11,1,Bottom,virB
F10,1053.0,ΔvirB1-11,1,Bottom,virB
F11,1117.0,ΔvirB1-11,1,Bottom,virB
F12,1145.0,ΔvirB1-11,1,Bottom,virB
G1,1170.0,ΔvirB1-11,2,Top,virB
G2,1166.0,ΔvirB1-11,2,Top,virB
G3,1231.0,ΔvirB1-11,2,Top,virB
G4,1114.0,ΔvirB1-11,2,Top,virB
G5,1163.0,ΔvirB1-11,2,Bottom,virB
G6,1113.0,ΔvirB1-11,2,Bottom,virB
G7,1067.0,ΔvirB1-11,2,Bottom,virB
G8,1074.0,ΔvirB1-11,2,Bottom,virB
G9,1041.0,ΔvirB1-11,3,Top,virB
G10,758.0,ΔvirB1-11,3,Top,virB
G11,1016.0,ΔvirB1-11,3,Top,virB
G12,1114.0,ΔvirB1-11,3,Top,virB
H1,1298.0,ΔvirB1-11,3,Bottom,virB
H2,1151.0,ΔvirB1-11,3,Bottom,virB
H3,1240.0,ΔvirB1-11,3,Bottom,virB
H4,1571.0,ΔvirB1-11,3,Bottom,virB
H5,1081.0,ΔvirB1-11,4,Top,virB
H6,1171.0,ΔvirB1-11,4,Top,virB
H7,1233.0,ΔvirB1-11,4,Top,virB
H8,1129.0,ΔvirB1-11,4,Top,virB
H9,1245.0,ΔvirB1-11,4,Bottom,virB
H10,1186.0,ΔvirB1-11,4,Bottom,virB
H11,1096.0,ΔvirB1-11,4,Bottom,virB
H12,1129.0,ΔvirB1-11,4,Bottom,virB
A1,1326.0,ΔvirB1-11,5,Top,virB
A2,1340.0,ΔvirB1-11,5,Top,virB
A3,1601.0,ΔvirB1-11,5,Top,virB
A4,1421.0,ΔvirB1-11,5,Top,virB
A5,1267.0,ΔvirB1-11,5,Bottom,virB
A6,1260.0,ΔvirB1-11,5,Bottom,virB
