##BLOCKS= 7,,,,,,,,,,,,,,,,,,,,
Plate:,sLW002,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,24.1,-0.0014,-0.0043,-0.0028,0.0028,0.0101,0.0166,0.0392,0.0594,0.1515,0.299,0.3373,0.2531,,,,,,,
,,0.0351,0.0399,0.0429,0.0363,0.0479,0.0274,0.0202,0.0085,0.0221,0.0142,0.0238,0.2673,,,,,,,
,,-0.0059,0.0082,0.0249,0.0323,0.0394,0.0296,0.0164,0.0289,0.0465,0.2788,0.2867,0.2878,,,,,,,
,,-0.0177,-0.0081,-0.006,0.0018,0.0098,0.0335,0.0358,0.0317,0.056,0.0606,0.0919,0.1778,,,,,,,
,,0.0064,0.0117,0.0115,0.017,0.0204,0.0103,0.0078,0.0233,0.0561,0.2385,0.282,0.2197,,,,,,,
,,0.0098,0.0523,0.0371,0.0356,0.0474,0.0445,0.0372,0.0373,0.0534,0.0666,0.1121,0.2166,,,,,,,
,,0,0.0139,0.0132,0.0233,0.0427,0.0339,0.0359,0.0336,0.0436,0.0712,0.0994,0.2393,,,,,,,
,,0.0715,0.0663,0.0719,0.0834,0.0722,0.0565,0.0362,0.0173,0.0234,0.014,0.0115,0.2463,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,-0.0014,-0.0043,-0.0028,0.0028,0.0101,0.0166,0.0392,0.0594,0.1515,0.299,0.3373,0.2531,,,,,,,
,,0.0351,0.0399,0.0429,0.0363,0.0479,0.0274,0.0202,0.0085,0.0221,0.0142,0.0238,0.2673,,,,,,,
,,-0.0059,0.0082,0.0249,0.0323,0.0394,0.0296,0.0164,0.0289,0.0465,0.2788,0.2867,0.2878,,,,,,,
,,-0.0177,-0.0081,-0.006,0.0018,0.0098,0.0335,0.0358,0.0317,0.056,0.0606,0.0919,0.1778,,,,,,,
,,0.0064,0.0117,0.0115,0.017,0.0204,0.0103,0.0078,0.0233,0.0561,0.2385,0.282,0.2197,,,,,,,
,,0.0098,0.0523,0.0371,0.0356,0.0474,0.0445,0.0372,0.0373,0.0534,0.0666,0.1121,0.2166,,,,,,,
,,0,0.0139,0.0132,0.0233,0.0427,0.0339,0.0359,0.0336,0.0436,0.0712,0.0994,0.2393,,,,,,,
,,0.0715,0.0663,0.0719,0.0834,0.0722,0.0565,0.0362,0.0173,0.0234,0.014,0.0115,0.2463,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,Copy Of sLW002,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,23.1,0.0647,0.0627,0.0645,0.0708,0.078,0.0845,0.108,0.1288,0.2207,0.3641,0.4041,0.2886,,,,,,,
,,0.1049,0.1107,0.1174,0.117,0.1205,0.0988,0.09,0.0768,0.0907,0.0817,0.092,0.2886,,,,,,,
,,0.0621,0.077,0.1003,0.1027,0.1103,0.1001,0.0846,0.0975,0.1143,0.3528,0.3645,0.325,,,,,,,
,,0.0547,0.0577,0.0641,0.0706,0.0792,0.104,0.1053,0.1014,0.1259,0.1289,0.1601,0.2572,,,,,,,
,,0.0765,0.081,0.0828,0.0867,0.0891,0.0789,0.0759,0.0913,0.1234,0.3083,0.3528,0.3127,,,,,,,
,,0.0843,0.1195,0.1056,0.1051,0.1157,0.1137,0.1052,0.1069,0.123,0.1346,0.1798,0.2975,,,,,,,
,,0.068,0.0812,0.0879,0.0957,0.1101,0.1048,0.1032,0.1049,0.1154,0.1404,0.1688,0.2893,,,,,,,
,,0.1492,0.1493,0.1519,0.1612,0.1476,0.1286,0.108,0.0832,0.0919,0.0821,0.0795,0.2964,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.0647,0.0627,0.0645,0.0708,0.078,0.0845,0.108,0.1288,0.2207,0.3641,0.4041,0.2886,,,,,,,
,,0.1049,0.1107,0.1174,0.117,0.1205,0.0988,0.09,0.0768,0.0907,0.0817,0.092,0.2886,,,,,,,
,,0.0621,0.077,0.1003,0.1027,0.1103,0.1001,0.0846,0.0975,0.1143,0.3528,0.3645,0.325,,,,,,,
,,0.0547,0.0577,0.0641,0.0706,0.0792,0.104,0.1053,0.1014,0.1259,0.1289,0.1601,0.2572,,,,,,,
,,0.0765,0.081,0.0828,0.0867,0.0891,0.0789,0.0759,0.0913,0.1234,0.3083,0.3528,0.3127,,,,,,,
,,0.0843,0.1195,0.1056,0.1051,0.1157,0.1137,0.1052,0.1069,0.123,0.1346,0.1798,0.2975,,,,,,,
,,0.068,0.0812,0.0879,0.0957,0.1101,0.1048,0.1032,0.1049,0.1154,0.1404,0.1688,0.2893,,,,,,,
,,0.1492,0.1493,0.1519,0.1612,0.1476,0.1286,0.108,0.0832,0.0919,0.0821,0.0795,0.2964,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,sLW005,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,24.2,0.0691,0.0667,0.0662,0.062,0.0731,0.1036,0.1002,0.1307,0.1693,0.2131,0.2362,0.4703,,,,,,,
,,0.1131,0.1282,0.1446,0.1298,0.1543,0.1741,0.1063,0.1053,0.0997,0.0912,0.0877,0.4625,,,,,,,
,,0.1004,0.1645,0.1687,0.1261,0.115,0.1694,0.0994,0.0953,0.0984,0.0967,0.0976,0.4388,,,,,,,
,,0.0693,0.0694,0.0685,0.0798,0.0871,0.1251,0.1156,0.0942,0.1296,0.356,0.3959,0.5287,,,,,,,
,,0.0818,0.097,0.0999,0.1058,0.1028,0.1727,0.1561,0.1792,0.2535,0.4008,0.4783,0.4957,,,,,,,
,,0.1079,0.1014,0.0984,0.109,0.1114,0.2165,0.1478,0.154,0.1614,0.1594,0.1294,0.3584,,,,,,,
,,0.0943,0.0968,0.1038,0.1082,0.1107,0.1736,0.1236,0.1567,0.1638,0.1289,0.3099,0.4862,,,,,,,
,,0.1159,0.1285,0.1365,0.1365,0.1347,0.2028,0.1501,0.0968,0.0934,0.0921,0.0875,0.4365,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.0691,0.0667,0.0662,0.062,0.0731,0.1036,0.1002,0.1307,0.1693,0.2131,0.2362,0.4703,,,,,,,
,,0.1131,0.1282,0.1446,0.1298,0.1543,0.1741,0.1063,0.1053,0.0997,0.0912,0.0877,0.4625,,,,,,,
,,0.1004,0.1645,0.1687,0.1261,0.115,0.1694,0.0994,0.0953,0.0984,0.0967,0.0976,0.4388,,,,,,,
,,0.0693,0.0694,0.0685,0.0798,0.0871,0.1251,0.1156,0.0942,0.1296,0.356,0.3959,0.5287,,,,,,,
,,0.0818,0.097,0.0999,0.1058,0.1028,0.1727,0.1561,0.1792,0.2535,0.4008,0.4783,0.4957,,,,,,,
,,0.1079,0.1014,0.0984,0.109,0.1114,0.2165,0.1478,0.154,0.1614,0.1594,0.1294,0.3584,,,,,,,
,,0.0943,0.0968,0.1038,0.1082,0.1107,0.1736,0.1236,0.1567,0.1638,0.1289,0.3099,0.4862,,,,,,,
,,0.1159,0.1285,0.1365,0.1365,0.1347,0.2028,0.1501,0.0968,0.0934,0.0921,0.0875,0.4365,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,Copy Of sLW005,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,23.2,0.0685,0.068,0.0679,0.063,0.0743,0.103,0.1003,0.1303,0.1726,0.214,0.2374,0.4775,,,,,,,
,,0.1139,0.1279,0.1454,0.1347,0.1594,0.8239,0.1079,0.1054,0.0991,0.091,0.0876,0.4975,,,,,,,
,,0.1031,0.1762,0.1809,0.1299,0.1153,0.1689,0.0996,0.0958,0.0986,0.0967,0.0974,0.454,,,,,,,
,,0.076,0.0686,0.0692,0.0796,0.0872,0.125,0.1157,0.0963,0.13,0.3692,0.4202,0.5743,,,,,,,
,,0.0814,0.0971,0.0996,0.1057,0.1037,0.1723,0.1579,0.1782,0.2657,0.4213,0.4813,0.5851,,,,,,,
,,0.113,0.1005,0.0996,0.1102,0.1114,0.2143,0.1463,0.1523,0.1592,0.1562,0.1299,0.374,,,,,,,
